event_id,stock_id,announcement_date,metric_kind,metric_current,metric_prev,metric_yoy_base,prev_event_id,yoy_event_id,prev_delta,prev_pct,yoy_delta,yoy_pct,turned_profit_from_loss,turned_loss_from_profit,comparison_source,strategy_bucket
mops_1303_20200410_133548_2,1303,2020-04-10,eps,-0.29,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1326_20200410_133223_2,1326,2020-04-10,eps,0.46,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20200710_133519_2,1303,2020-07-10,eps,0.27,-0.29,,mops_1303_20200410_133548_2,,0.56,1.931034,,,True,False,sequential_same_stock,turnaround_loss_to_profit
mops_1326_20200710_133150_3,1326,2020-07-10,eps,2.45,0.46,,mops_1326_20200410_133223_2,,1.99,4.326087,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1201_20200727_175105_1,1201,2020-07-27,eps,0.04,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1444_20200806_171433_2,1444,2020-08-06,eps,0.13,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20201008_133432_2,1303,2020-10-08,eps,1.31,0.27,,mops_1303_20200710_133519_2,,1.04,3.851852,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1326_20201008_133409_2,1326,2020-10-08,eps,0.2,2.45,,mops_1326_20200710_133150_3,,-2.25,-0.918367,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1435_20201104_185119_2,1435,2020-11-04,eps,-0.04,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20210108_135526_2,1303,2021-01-08,eps,1.53,1.31,,mops_1303_20201008_133432_2,,0.22,0.167939,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20210409_133322_2,1303,2021-04-09,eps,2.23,1.53,-0.29,mops_1303_20210108_135526_2,mops_1303_20200410_133548_2,0.7,0.457516,2.52,8.689655,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1326_20210409_133658_2,1326,2021-04-09,eps,1.67,0.2,,mops_1326_20201008_133409_2,,1.47,7.35,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1418_20210412_162223_2,1418,2021-04-12,eps,-0.35,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20210709_133348_2,1303,2021-07-09,eps,2.9,2.23,0.27,mops_1303_20210409_133322_2,mops_1303_20200710_133519_2,0.67,0.300448,2.63,9.740741,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1326_20210709_133225_2,1326,2021-07-09,eps,2.2,1.67,0.46,mops_1326_20210409_133658_2,mops_1326_20200410_133223_2,0.53,0.317365,1.74,3.782609,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20211008_133432_2,1303,2021-10-08,eps,2.92,2.9,1.31,mops_1303_20210709_133348_2,mops_1303_20201008_133432_2,0.02,0.006897,1.61,1.229008,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1326_20211008_133331_3,1326,2021-10-08,eps,2.12,2.2,2.45,mops_1326_20210709_133225_2,mops_1326_20200710_133150_3,-0.08,-0.036364,-0.33,-0.134694,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20220110_133145_2,1303,2022-01-10,eps,0.22,2.92,1.53,mops_1303_20211008_133432_2,mops_1303_20210108_135526_2,-2.7,-0.924658,-1.31,-0.856209,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1418_20220110_143925_1,1418,2022-01-10,eps,-0.19,-0.35,,mops_1418_20210412_162223_2,,0.16,0.457143,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1101_20220124_230454_1,1101,2022-01-24,profit,1.0,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20220411_133111_2,1303,2022-04-11,eps,1.9,0.22,2.23,mops_1303_20220110_133145_2,mops_1303_20210409_133322_2,1.68,7.636364,-0.33,-0.147982,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20220711_133355_2,1303,2022-07-11,eps,0.49,1.9,2.9,mops_1303_20220411_133111_2,mops_1303_20210709_133348_2,-1.41,-0.742105,-2.41,-0.831034,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20221011_133054_2,1303,2022-10-11,eps,0.43,0.49,2.92,mops_1303_20220711_133355_2,mops_1303_20211008_133432_2,-0.06,-0.122449,-2.49,-0.85274,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20230110_133334_2,1303,2023-01-10,eps,10.25,0.43,0.22,mops_1303_20221011_133054_2,mops_1303_20220110_133145_2,9.82,22.837209,10.03,45.590909,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20230411_133051_2,1303,2023-04-11,eps,0.11,10.25,1.9,mops_1303_20230110_133334_2,mops_1303_20220411_133111_2,-10.14,-0.989268,-1.79,-0.942105,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20230710_133034_2,1303,2023-07-10,eps,0.12,0.11,0.49,mops_1303_20230411_133051_2,mops_1303_20220711_133355_2,0.01,0.090909,-0.37,-0.755102,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20231011_133256_2,1303,2023-10-11,eps,0.55,0.12,0.43,mops_1303_20230710_133034_2,mops_1303_20221011_133054_2,0.43,3.583333,0.12,0.27907,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20240110_133034_2,1303,2024-01-10,eps,0.04,0.55,10.25,mops_1303_20231011_133256_2,mops_1303_20230110_133334_2,-0.51,-0.927273,-10.21,-0.996098,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1418_20240131_153412_1,1418,2024-01-31,eps,-0.23,-0.19,,mops_1418_20220110_143925_1,,-0.04,-0.210526,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20240410_133033_2,1303,2024-04-10,eps,0.16,0.04,0.11,mops_1303_20240110_133034_2,mops_1303_20230411_133051_2,0.12,3.0,0.05,0.454545,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1418_20240627_151813_3,1418,2024-06-27,eps,-0.27,-0.23,,mops_1418_20240131_153412_1,,-0.04,-0.173913,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20240710_133034_2,1303,2024-07-10,eps,0.22,0.16,0.12,mops_1303_20240410_133033_2,mops_1303_20230710_133034_2,0.06,0.375,0.1,0.833333,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20241011_133024_2,1303,2024-10-11,eps,0.01,0.22,0.55,mops_1303_20240710_133034_2,mops_1303_20231011_133256_2,-0.21,-0.954545,-0.54,-0.981818,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1303_20250110_133020_2,1303,2025-01-10,eps,0.04,0.01,0.04,mops_1303_20241011_133024_2,mops_1303_20240110_133034_2,0.03,3.0,0.0,0.0,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
mops_1419_20250521_162940_1,1419,2025-05-21,eps,-0.06,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1409_20250819_163331_1,1409,2025-08-19,eps,-0.02,,,,,,,,,False,False,sequential_same_stock,topic_06_eps_catalyst
mops_1303_20260410_133021_2,1303,2026-04-10,eps,0.59,0.04,0.16,mops_1303_20250110_133020_2,mops_1303_20240410_133033_2,0.55,13.75,0.43,2.6875,False,False,sequential_same_stock_with_yoy_proxy,topic_06_eps_catalyst
