event_id,stock_id,announcement_date,reason
mops_1303_20200410_133548_2,1303,2020-04-10,missing_price_file
mops_1326_20200410_133223_2,1326,2020-04-10,missing_price_file
mops_1303_20200710_133519_2,1303,2020-07-10,missing_price_file
mops_1326_20200710_133150_3,1326,2020-07-10,missing_price_file
mops_1201_20200727_175105_1,1201,2020-07-27,missing_price_file
mops_1444_20200806_171433_2,1444,2020-08-06,missing_price_file
mops_1303_20201008_133432_2,1303,2020-10-08,missing_price_file
mops_1326_20201008_133409_2,1326,2020-10-08,missing_price_file
mops_1435_20201104_185119_2,1435,2020-11-04,missing_price_file
mops_1303_20210108_135526_2,1303,2021-01-08,missing_price_file
mops_1303_20210409_133322_2,1303,2021-04-09,missing_price_file
mops_1326_20210409_133658_2,1326,2021-04-09,missing_price_file
mops_1418_20210412_162223_2,1418,2021-04-12,missing_price_file
mops_1303_20210709_133348_2,1303,2021-07-09,missing_price_file
mops_1326_20210709_133225_2,1326,2021-07-09,missing_price_file
mops_1303_20211008_133432_2,1303,2021-10-08,missing_price_file
mops_1326_20211008_133331_3,1326,2021-10-08,missing_price_file
mops_1303_20220110_133145_2,1303,2022-01-10,missing_price_file
mops_1418_20220110_143925_1,1418,2022-01-10,missing_price_file
mops_1303_20220411_133111_2,1303,2022-04-11,missing_price_file
mops_1303_20220711_133355_2,1303,2022-07-11,missing_price_file
mops_1303_20221011_133054_2,1303,2022-10-11,missing_price_file
mops_1303_20230110_133334_2,1303,2023-01-10,missing_price_file
mops_1303_20230411_133051_2,1303,2023-04-11,missing_price_file
mops_1303_20230710_133034_2,1303,2023-07-10,missing_price_file
mops_1303_20231011_133256_2,1303,2023-10-11,missing_price_file
mops_1303_20240110_133034_2,1303,2024-01-10,missing_price_file
mops_1418_20240131_153412_1,1418,2024-01-31,missing_price_file
mops_1303_20240410_133033_2,1303,2024-04-10,missing_price_file
mops_1418_20240627_151813_3,1418,2024-06-27,missing_price_file
mops_1303_20240710_133034_2,1303,2024-07-10,missing_price_file
mops_1303_20241011_133024_2,1303,2024-10-11,missing_price_file
mops_1303_20250110_133020_2,1303,2025-01-10,missing_price_file
mops_1419_20250521_162940_1,1419,2025-05-21,missing_price_file
mops_1409_20250819_163331_1,1409,2025-08-19,missing_price_file
mops_1303_20260410_133021_2,1303,2026-04-10,missing_price_file
