announcement_date,announcement_time,stock_id,company_name,title,event_id,eps_value,profit_value,has_compare_context,has_price_file,strategy_bucket,source
2026-06-16,15:08:54,2493,揚博,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mopsjson_2493_1150616_150854,0.49,,True,True,topic_06_eps_catalyst,mops_json_20260617
2026-06-16,15:25:35,8021,尖點,"本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布有關財務業務等重大訊息，以利投資人區別瞭解。",mopsjson_8021_1150616_152535,0.79,,True,True,topic_06_eps_catalyst,mops_json_20260617
2026-04-10,13:34:05,1301,台塑,公告本公司2026年第1季自結合併損益,mops_1301_20260410_133405_2,0.51,32.6,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-04-10,13:30:21,1303,南亞,公告本公司2026年第1季自結合併損益,mops_1303_20260410_133021_2,0.59,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-03-24,16:08:59,1309,台達化,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1309_20260324_160859_1,0.17,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-06-04,15:54:57,1312,國喬,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mops_1312_20260604_155457_1,0.12,,False,False,topic_06_eps_catalyst,mops_api_t05st01
2026-04-10,13:30:45,1326,台化,公告本公司2026年第一季自結合併損益,mops_1326_20260410_133045_2,1.07,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-06-02,17:04:11,1409,新纖,"因本公司有價證券於集中交易市場達公佈注意交易資訊標準，
故公布相關財務、業務等重大訊息，以利投資人區別了解",mops_1409_20260602_170411_1,0.26,,False,False,topic_06_eps_catalyst,mops_api_t05st01
2026-06-04,16:21:46,1440,南紡,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mops_1440_20260604_162146_1,0.02,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-04-24,15:16:05,1441,大東,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mops_1441_20260424_151605_1,-0.0016,,True,False,topic_06_review,mops_api_t05st01
2026-06-04,16:14:54,1444,力麗,"本公司有價證券於集中交易市場達公佈注意交易資訊標準，
故公布相關財務、業務等重大訊息，以利投資人區別了解。",mops_1444_20260604_161454_1,0.01,,False,False,topic_06_eps_catalyst,mops_api_t05st01
2026-04-09,15:42:35,1449,佳和,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1449_20260409_154235_1,-0.15,,True,False,topic_06_review,mops_api_t05st01
2026-02-04,15:12:56,1454,台富,"本公司有價證券於集中交易市場達公布注意交易資訊標準
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1454_20260204_151256_1,-0.07,,True,False,topic_06_review,mops_api_t05st01
2026-01-27,16:19:18,1471,首利,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務資訊，以利投資人區別瞭解。",mops_1471_20260127_161918_2,0.04,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-01-16,16:21:56,1477,聚陽,公告本公司114年第四季及全年度自結合併淨利,mops_1477_20260116_162156_1,3.52,,True,False,topic_06_eps_catalyst,mops_api_t05st01
2026-06-16,15:28:32,3026,禾伸堂,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mopsjson_3026_1150616_152832,1.02,,True,False,topic_06_eps_catalyst,mops_json_20260617
2026-06-16,15:56:58,2105,正新,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mopsjson_2105_1150616_155658,0.22,,True,False,topic_06_eps_catalyst,mops_json_20260617
2026-06-16,15:56:58,6834,天二科技,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準， 故公布相關財務業務等重大訊息，以利投資人區別
瞭解。",mopsjson_6834_1150616_155658,0.51,,False,False,topic_06_eps_catalyst,mops_json_20260617
2026-06-16,16:21:05,2455,全新,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解",mopsjson_2455_1150616_162105,0.39,,True,False,topic_06_eps_catalyst,mops_json_20260617
2026-06-16,18:47:06,3090,日電貿,"因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mopsjson_3090_1150616_184706,0.49,,True,False,topic_06_eps_catalyst,mops_json_20260617
