stock_id,company_name,market,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct
1301,台塑,twse,1150618,,0.84,0.97
1303,南亞,twse,1150618,60.17,2.87,0.58
1304,台聚,twse,1150618,,0.83,1.11
1305,華夏,twse,1150618,,1.01,0.75
1309,台達化,twse,1150618,,1.02,1.02
1312,國喬,twse,1150618,,0.53,
1323,永裕,twse,1150618,35.36,0.7,4.55
1326,台化,twse,1150618,361.33,0.85,1.11
1409,新纖,twse,1150618,18.96,0.98,3.52
1440,南紡,twse,1150618,,0.8,2.26
1441,大東,twse,1150618,,1.56,
1444,力麗,twse,1150618,,0.72,
1449,佳和,twse,1150618,,0.78,
1454,台富,twse,1150618,,1.18,0.78
1471,首利,twse,1150618,,1.14,
1477,聚陽,twse,1150618,15.99,4.2,6.77
2105,正新,twse,1150618,18.3,1.13,6.07
2455,全新,twse,1150618,131.23,20.98,0.63
2493,揚博,twse,1150618,64.66,11.94,1.46
3026,禾伸堂,twse,1150618,116.24,15.45,0.64
3090,日電貿,twse,1150618,69.27,5.43,1.44
6834,天二科技,twse,1150618,166.39,6.15,0.39
8021,尖點,twse,1150618,155.59,14.64,0.37
